threshold,f1,precision,recall
0.41500000000000004,0.3742911153119093,0.25984251968503935,0.668918918918919
0.42,0.375,0.26052631578947366,0.668918918918919
0.425,0.3800383877159309,0.26541554959785524,0.668918918918919
0.43,0.3783783783783784,0.2648648648648649,0.6621621621621622
0.435,0.3796477495107632,0.26721763085399447,0.6554054054054054
0.44,0.3803921568627451,0.26795580110497236,0.6554054054054054
0.445,0.38415841584158417,0.27170868347338933,0.6554054054054054
0.45,0.38323353293413176,0.2719546742209632,0.6486486486486487
0.455,0.3878787878787879,0.276657060518732,0.6486486486486487
0.46,0.38445807770961143,0.2756598240469208,0.6351351351351351
0.465,0.384297520661157,0.2767857142857143,0.6283783783783784
0.47000000000000003,0.3891213389121339,0.2818181818181818,0.6283783783783784
0.47500000000000003,0.3873684210526316,0.28134556574923547,0.6216216216216216
0.48,0.3890063424947146,0.28307692307692306,0.6216216216216216
0.485,0.39065817409766457,0.2848297213622291,0.6216216216216216
0.49,0.39316239316239315,0.2875,0.6216216216216216
0.495,0.3948497854077253,0.2893081761006289,0.6216216216216216
0.5,0.39826839826839827,0.2929936305732484,0.6216216216216216
0.505,0.40350877192982454,0.2987012987012987,0.6216216216216216
0.51,0.3973509933774834,0.29508196721311475,0.6081081081081081
0.515,0.4,0.2980132450331126,0.6081081081081081
0.52,0.39732142857142855,0.2966666666666667,0.6013513513513513
0.525,0.4,0.2996632996632997,0.6013513513513513
0.53,0.40271493212669685,0.30272108843537415,0.6013513513513513
0.535,0.40454545454545454,0.3047945205479452,0.6013513513513513
0.54,0.4073226544622426,0.3079584775086505,0.6013513513513513
0.545,0.40559440559440557,0.3096085409252669,0.5878378378378378
0.55,0.41134751773049644,0.31636363636363635,0.5878378378378378
0.555,0.4095238095238095,0.3161764705882353,0.581081081081081
0.56,0.4095238095238095,0.3161764705882353,0.581081081081081
0.5650000000000001,0.40669856459330145,0.3148148148148148,0.5743243243243243
0.5700000000000001,0.41362530413625304,0.3231939163498099,0.5743243243243243
0.5750000000000001,0.40786240786240785,0.3204633204633205,0.5608108108108109
0.58,0.4088669950738916,0.32170542635658916,0.5608108108108109
0.585,0.41089108910891087,0.32421875,0.5608108108108109
0.59,0.4129353233830846,0.32677165354330706,0.5608108108108109
0.595,0.41102756892230574,0.32669322709163345,0.5540540540540541
0.6,0.41012658227848103,0.32793522267206476,0.5472972972972973
0.605,0.4071246819338422,0.32653061224489793,0.5405405405405406
0.61,0.41237113402061853,0.3333333333333333,0.5405405405405406
0.615,0.41450777202072536,0.33613445378151263,0.5405405405405406
0.62,0.4073107049608355,0.33191489361702126,0.527027027027027
0.625,0.4052631578947368,0.33189655172413796,0.5202702702702703
0.63,0.40214477211796246,0.3333333333333333,0.5067567567567568
0.635,0.40431266846361186,0.336322869955157,0.5067567567567568
0.64,0.4065040650406504,0.3393665158371041,0.5067567567567568
0.645,0.4087193460490463,0.3424657534246575,0.5067567567567568
0.65,0.41208791208791207,0.3472222222222222,0.5067567567567568
0.655,0.4166666666666667,0.35377358490566035,0.5067567567567568
0.66,0.41899441340782123,0.35714285714285715,0.5067567567567568
0.665,0.42134831460674155,0.3605769230769231,0.5067567567567568
0.67,0.4057142857142857,0.35148514851485146,0.4797297297297297
0.675,0.4,0.350253807106599,0.46621621621621623
0.68,0.4,0.3541666666666667,0.4594594594594595
0.685,0.4084084084084084,0.3675675675675676,0.4594594594594595
